"Period","Value"
"Jan-1968",22.6
"Feb-1968",23.3
"Mar-1968",24.4
"Apr-1968",27
"May-1968",25.1
"Jun-1968",26.9
"Jul-1968",25.7
"Aug-1968",33.4
"Sep-1968",37.9
"Oct-1968",34.2
"Nov-1968",35.8
"Dec-1968",31.2
"Jan-1969",18
"Feb-1969",23.3
"Mar-1969",23.5
"Apr-1969",24.9
"May-1969",26.4
"Jun-1969",31.6
"Jul-1969",27.3
"Aug-1969",36.7
"Sep-1969",39.8
"Oct-1969",35.2
"Nov-1969",29.6
"Dec-1969",28.4
"Jan-1970",23.1
"Feb-1970",19.6
"Mar-1970",17.5
"Apr-1970",24.3
"May-1970",28.3
"Jun-1970",29.9
"Jul-1970",25.8
"Aug-1970",34.5
"Sep-1970",29.7
"Oct-1970",34.6
"Nov-1970",28.1
"Dec-1970",27.9
"Jan-1971",24
"Feb-1971",14.3
"Mar-1971",17.7
"Apr-1971",25.1
"May-1971",27.1
"Jun-1971",28.7
"Jul-1971",28.5
"Aug-1971",37.9
"Sep-1971",40.2
"Oct-1971",37.7
"Nov-1971",34.2
"Dec-1971",32.8
"Jan-1972",26.6
"Feb-1972",27.5
"Mar-1972",28.4
"Apr-1972",30.3
"May-1972",32.7
"Jun-1972",35.2
"Jul-1972",34.4
"Aug-1972",38
"Sep-1972",40.7
"Oct-1972",42.2
"Nov-1972",36.6
"Dec-1972",39.1
"Jan-1973",32.4
"Feb-1973",22.5
"Mar-1973",33.2
"Apr-1973",30.1
"May-1973",31.9
"Jun-1973",43.3
"Jul-1973",34.3
"Aug-1973",38.6
"Sep-1973",45.7
"Oct-1973",55.7
"Nov-1973",38.2
"Dec-1973",35.8
"Jan-1974",27.5
"Feb-1974",26.3
"Mar-1974",25.3
"Apr-1974",34.7
"May-1974",24.9
"Jun-1974",42.2
"Jul-1974",29.1
"Aug-1974",32.6
"Sep-1974",31.3
"Oct-1974",41.1
"Nov-1974",31.6
"Dec-1974",30.6
"Jan-1975",31.4
"Feb-1975",20.5
"Mar-1975",17.3
"Apr-1975",21
"May-1975",26.2
"Jun-1975",24.2
"Jul-1975",23.9
"Aug-1975",27.8
"Sep-1975",37.4
"Oct-1975",26.2
"Nov-1975",28.3
"Dec-1975",29
"Jan-1976",23.8
"Feb-1976",22.2
"Mar-1976",24.8
"Apr-1976",20.8
"May-1976",28.9
"Jun-1976",26.7
"Jul-1976",32.3
"Aug-1976",39.3
"Sep-1976",36.7
"Oct-1976",31.6
"Nov-1976",32.3
"Dec-1976",36.1
"Jan-1977",25.5
"Feb-1977",22.4
"Mar-1977",24.8
"Apr-1977",22.6
"May-1977",29.3
"Jun-1977",34.6
"Jul-1977",35.3
"Aug-1977",41.8
"Sep-1977",51.1
"Oct-1977",40.6
"Nov-1977",35.9
"Dec-1977",36.1
"Jan-1978",25.7
"Feb-1978",22.3
"Mar-1978",28.3
"Apr-1978",28.1
"May-1978",30.9
"Jun-1978",35.3
"Jul-1978",39.5
"Aug-1978",41.8
"Sep-1978",42.9
"Oct-1978",39.5
"Nov-1978",42.4
"Dec-1978",39.7
"Jan-1979",28.9
"Feb-1979",25
"Mar-1979",32.5
"Apr-1979",25.9
"May-1979",34.1
"Jun-1979",36.9
"Jul-1979",32.7
"Aug-1979",35.3
"Sep-1979",41.3
"Oct-1979",43.1
"Nov-1979",41.5
"Dec-1979",37.4
"Jan-1980",23.2
"Feb-1980",24.1
"Mar-1980",21.9
"Apr-1980",28
"May-1980",19.3
"Jun-1980",29.4
"Jul-1980",19.6
"Aug-1980",25.1
"Sep-1980",20
"Oct-1980",23.9
"Nov-1980",18
"Dec-1980",21.1
"Jan-1981",14.1
"Feb-1981",15.1
"Mar-1981",17
"Apr-1981",21.9
"May-1981",15.3
"Jun-1981",26.4
"Jul-1981",17.4
"Aug-1981",18.6
"Sep-1981",18.4
"Oct-1981",19.6
"Nov-1981",15.2
"Dec-1981",18.5
"Jan-1982",9.6
"Feb-1982",9.7
"Mar-1982",7.9
"Apr-1982",10.1
"May-1982",9.6
"Jun-1982",13.7
"Jul-1982",13.2
"Aug-1982",15.5
"Sep-1982",15.1
"Oct-1982",14.8
"Nov-1982",11.9
"Dec-1982",11.9
"Jan-1983",11
"Feb-1983",9.7
"Mar-1983",9.7
"Apr-1983",11.5
"May-1983",12.7
"Jun-1983",19.4
"Jul-1983",15.8
"Aug-1983",25.4
"Sep-1983",20.4
"Oct-1983",24.1
"Nov-1983",19.8
"Dec-1983",21.2
"Jan-1984",11.6
"Feb-1984",11.4
"Mar-1984",12.5
"Apr-1984",15.4
"May-1984",18.1
"Jun-1984",18.3
"Jul-1984",18.3
"Aug-1984",24.8
"Sep-1984",24.9
"Oct-1984",23.2
"Nov-1984",21.1
"Dec-1984",21.5
"Jan-1985",15.9
"Feb-1985",14.6
"Mar-1985",15.6
"Apr-1985",14.5
"May-1985",15.6
"Jun-1985",20.6
"Jul-1985",17.8
"Aug-1985",24.7
"Sep-1985",20.3
"Oct-1985",24.7
"Nov-1985",20.4
"Dec-1985",25.6
"Jan-1986",15.9
"Feb-1986",14.5
"Mar-1986",15.8
"Apr-1986",15.3
"May-1986",20.4
"Jun-1986",21
"Jul-1986",25.4
"Aug-1986",27.6
"Sep-1986",28.1
"Oct-1986",30.2
"Nov-1986",27.4
"Dec-1986",28.1
"Jan-1987",21.8
"Feb-1987",18.2
"Mar-1987",24.7
"Apr-1987",21.5
"May-1987",21.3
"Jun-1987",24.9
"Jul-1987",24.6
"Aug-1987",29.4
"Sep-1987",29.2
"Oct-1987",29.1
"Nov-1987",25
"Dec-1987",32.5
"Jan-1988",20.8
"Feb-1988",14.9
"Mar-1988",19.1
"Apr-1988",22.6
"May-1988",21.2
"Jun-1988",26.6
"Jul-1988",24.4
"Aug-1988",26.4
"Sep-1988",28
"Oct-1988",26.1
"Nov-1988",23.1
"Dec-1988",27.2
"Jan-1989",17.1
"Feb-1989",16.8
"Mar-1989",18.4
"Apr-1989",21.3
"May-1989",20.1
"Jun-1989",21.5
"Jul-1989",25.4
"Aug-1989",25.6
"Sep-1989",26
"Oct-1989",26.1
"Nov-1989",27.2
"Dec-1989",21.6
"Jan-1990",20.1
"Feb-1990",15.9
"Mar-1990",14.6
"Apr-1990",20.5
"May-1990",21.8
"Jun-1990",23
"Jul-1990",22.9
"Aug-1990",25.7
"Sep-1990",25.9
"Oct-1990",26.4
"Nov-1990",23.1
"Dec-1990",23.5
"Jan-1991",17.2
"Feb-1991",12.9
"Mar-1991",17.2
"Apr-1991",16.6
"May-1991",19.2
"Jun-1991",23
"Jul-1991",20.5
"Aug-1991",24.3
"Sep-1991",25.7
"Oct-1991",25.3
"Nov-1991",19.5
"Dec-1991",19
"Jan-1992",15.9
"Feb-1992",15.1
"Mar-1992",16.4
"Apr-1992",18.5
"May-1992",21.4
"Jun-1992",22.7
"Jul-1992",23
"Aug-1992",26.1
"Sep-1992",26
"Oct-1992",27.7
"Nov-1992",28.3
"Dec-1992",27.4
"Jan-1993",16.2
"Feb-1993",19.6
"Mar-1993",15.7
"Apr-1993",20.7
"May-1993",18.9
"Jun-1993",24.4
"Jul-1993",20.8
"Aug-1993",26.9
"Sep-1993",26.8
"Oct-1993",30.9
"Nov-1993",24.7
"Dec-1993",27.7
"Jan-1994",17.9
"Feb-1994",18.7
"Mar-1994",20
"Apr-1994",21.4
"May-1994",25.4
"Jun-1994",29.4
"Jul-1994",23.7
"Aug-1994",28.7
"Sep-1994",32
"Oct-1994",31.6
"Nov-1994",27.2
"Dec-1994",31.2
"Jan-1995",22.7
"Feb-1995",18.8
"Mar-1995",20.7
"Apr-1995",25.9
"May-1995",24.8
"Jun-1995",24.7
"Jul-1995",25.9
"Aug-1995",25.8
"Sep-1995",27
"Oct-1995",25.9
"Nov-1995",25
"Dec-1995",20.8
"Jan-1996",21
"Feb-1996",15.2
"Mar-1996",20
"Apr-1996",22.9
"May-1996",22.6
"Jun-1996",27.8
"Jul-1996",29.9
"Aug-1996",30.3
"Sep-1996",27.4
"Oct-1996",27.1
"Nov-1996",30
"Dec-1996",30.3
"Jan-1997",21.2
"Feb-1997",20.5
"Mar-1997",19
"Apr-1997",23.1
"May-1997",22.8
"Jun-1997",24.5
"Jul-1997",24.3
"Aug-1997",28.7
"Sep-1997",28.4
"Oct-1997",29.2
"Nov-1997",27.3
"Dec-1997",26.9
"Jan-1998",17.9
"Feb-1998",20
"Mar-1998",23.9
"Apr-1998",25.4
"May-1998",25.5
"Jun-1998",26.9
"Jul-1998",30.2
"Aug-1998",28.2
"Sep-1998",25
"Oct-1998",27.5
"Nov-1998",27.2
"Dec-1998",27.3
"Jan-1999",19.7
"Feb-1999",18.1
"Mar-1999",27
"Apr-1999",24.9
"May-1999",27.9
"Jun-1999",30.9
"Jul-1999",26.8
"Aug-1999",31
"Sep-1999",32.9
"Oct-1999",31.2
"Nov-1999",30.5
"Dec-1999",33.7
"Jan-2000",23
"Feb-2000",21.6
"Mar-2000",27.8
"Apr-2000",23.4
"May-2000",30.5
"Jun-2000",30.7
"Jul-2000",24.2
"Aug-2000",33.4
"Sep-2000",32
"Oct-2000",28.8
"Nov-2000",30.1
"Dec-2000",29.1
"Jan-2001",20.9
"Feb-2001",19.2
"Mar-2001",20.3
"Apr-2001",24.6
"May-2001",23.4
"Jun-2001",28
"Jul-2001",31.5
"Aug-2001",29.2
"Sep-2001",28.6
"Oct-2001",29.8
"Nov-2001",31.6
"Dec-2001",29.3
"Jan-2002",18.9
"Feb-2002",24
"Mar-2002",24.3
"Apr-2002",25.4
"May-2002",28.8
"Jun-2002",21.8
"Jul-2002",26.8
"Aug-2002",33.4
"Sep-2002",31.9
"Oct-2002",29.5
"Nov-2002",33.6
"Dec-2002",31.3
"Jan-2003",18.4
"Feb-2003",19.2
"Mar-2003",25.3
"Apr-2003",27.4
"May-2003",28.3
"Jun-2003",28.6
"Jul-2003",30.6
"Aug-2003",30.2
"Sep-2003",33.6
"Oct-2003",30.1
"Nov-2003",29.4
"Dec-2003",31.1
"Jan-2004",25.1
"Feb-2004",24.2
"Mar-2004",24.3
"Apr-2004",28.5
"May-2004",31.1
"Jun-2004",30.1
"Jul-2004",31.8
"Aug-2004",40.3
"Sep-2004",31.9
"Oct-2004",33
"Nov-2004",28.3
"Dec-2004",33.6
"Jan-2005",21.7
"Feb-2005",25.4
"Mar-2005",23.3
"Apr-2005",27.3
"May-2005",36.5
"Jun-2005",31
"Jul-2005",28.8
"Aug-2005",33.8
"Sep-2005",31.3
"Oct-2005",31.9
"Nov-2005",30.5
"Dec-2005",30.6
"Jan-2006",23.5
"Feb-2006",21.3
"Mar-2006",26.1
"Apr-2006",26.6
"May-2006",25.5
"Jun-2006",29.3
"Jul-2006",27.2
"Aug-2006",30.4
"Sep-2006",30.5
"Oct-2006",29.4
"Nov-2006",26.4
"Dec-2006",29
"Jan-2007",17.7
"Feb-2007",15.3
"Mar-2007",17
"Apr-2007",17.7
"May-2007",19.4
"Jun-2007",19.1
"Jul-2007",19.3
"Aug-2007",16.6
"Sep-2007",22.9
"Oct-2007",19.4
"Nov-2007",19.9
"Dec-2007",18.4
"Jan-2008",12.9
"Feb-2008",15.2
"Mar-2008",12.6
"Apr-2008",11.2
"May-2008",15.2
"Jun-2008",17.3
"Jul-2008",11.6
"Aug-2008",16
"Sep-2008",22.1
"Oct-2008",15.6
"Nov-2008",16.2
"Dec-2008",12.3
"Jan-2009",8
"Feb-2009",7.8
"Mar-2009",8.3
"Apr-2009",9.1
"May-2009",10
"Jun-2009",10.3
"Jul-2009",9.4
"Aug-2009",11.9
"Sep-2009",9.9
"Oct-2009",9
"Nov-2009",13.1
"Dec-2009",12.3
"Jan-2010",5.5
"Feb-2010",5.7
"Mar-2010",5.7
"Apr-2010",7.9
"May-2010",10
"Jun-2010",14.8
"Jul-2010",8.8
"Aug-2010",9.3
"Sep-2010",8.8
"Oct-2010",10.7
"Nov-2010",11
"Dec-2010",8.7
"Jan-2011",6.3
"Feb-2011",6.4
"Mar-2011",6.5
"Apr-2011",7.4
"May-2011",8.7
"Jun-2011",9.6
"Jul-2011",9.7
"Aug-2011",11.8
"Sep-2011",8.6
"Oct-2011",9
"Nov-2011",8.8
"Dec-2011",10
"Jan-2012",5.8
"Feb-2012",6.4
"Mar-2012",8.4
"Apr-2012",8.3
"May-2012",8.5
"Jun-2012",9
"Jul-2012",11.8
"Aug-2012",11.3
"Sep-2012",10.3
"Oct-2012",11.3
"Nov-2012",8.9
"Dec-2012",10.4
"Jan-2013",5.5
"Feb-2013",7.1
"Mar-2013",7.9
"Apr-2013",10
"May-2013",9.3
"Jun-2013",9.4
"Jul-2013",10.4
"Aug-2013",11.4
"Sep-2013",12.3
"Oct-2013",12.6
"Nov-2013",12.5
"Dec-2013",12.2
"Jan-2014",8.2
"Feb-2014",10.2
"Mar-2014",9.8
"Apr-2014",9.2
"May-2014",12.2
"Jun-2014",12.7
"Jul-2014",12.6
"Aug-2014",15.8
"Sep-2014",16
"Oct-2014",14
"Nov-2014",11.9
"Dec-2014",16.3
"Jan-2015",8.7
"Feb-2015",8.9
"Mar-2015",7
"Apr-2015",14.4
"May-2015",13
"Jun-2015",12.4
"Jul-2015",15.3
"Aug-2015",15.3
"Sep-2015",19.9
"Oct-2015",14.7
"Nov-2015",10.2
"Dec-2015",14.6
"Jan-2016",9.3
"Feb-2016",9.5
"Mar-2016",11.7
"Apr-2016",11.5
"May-2016",14
"Jun-2016",15.5
"Jul-2016",15.5
"Aug-2016",14.3
"Sep-2016",11.3
"Oct-2016",17.8
"Nov-2016",16
"Dec-2016",17.7
"Jan-2017",11.3
"Feb-2017",7.6
"Mar-2017",13.3
"Apr-2017",13.9
"May-2017",11.9
"Jun-2017",19.2
"Jul-2017",15.1
"Aug-2017",16.8
"Sep-2017",16.7
"Oct-2017",14.5
"Nov-2017",15.1
"Dec-2017",16.9
"Jan-2018",11.1
"Feb-2018",10
"Mar-2018",10.8
"Apr-2018",15
"May-2018",14.2
"Jun-2018",14.7
"Jul-2018",15.9
"Aug-2018",19.5
"Sep-2018",16.4
"Oct-2018",17.1
"Nov-2018",11.7
"Dec-2018",12.5
"Jan-2019",9.3
"Feb-2019",13
"Mar-2019",14.3
"Apr-2019",15.2
"May-2019",16.8
"Jun-2019",12.7
"Jul-2019",17.2
"Aug-2019",18
"Sep-2019",13.2
"Oct-2019",15.1
"Nov-2019",13
"Dec-2019",13
"Jan-2020",12.3
"Feb-2020",12.4
"Mar-2020",15.5
"Apr-2020",13.5
"May-2020",15.3
"Jun-2020",16.4
"Jul-2020",12.9
"Aug-2020",16.1
"Sep-2020",17.9
"Oct-2020",18.4
"Nov-2020","NA"
"Dec-2020","NA"
