"Period","Value"
"Nov-1978",61.5
"Dec-1978",66.3
"Jan-1979",55.5
"Feb-1979",55.2
"Mar-1979",62.6
"Apr-1979",61.3
"May-1979",61.7
"Jun-1979",64.9
"Jul-1979",62
"Aug-1979",67.5
"Sep-1979",70.1
"Oct-1979",68.7
"Nov-1979",61.9
"Dec-1979",70.4
"Jan-1980",54.7
"Feb-1980",61.1
"Mar-1980",59.8
"Apr-1980",61.6
"May-1980",56.7
"Jun-1980",61.5
"Jul-1980",58.5
"Aug-1980",57.5
"Sep-1980",53.2
"Oct-1980",53.2
"Nov-1980",53.1
"Dec-1980",65.1
"Jan-1981",44.2
"Feb-1981",45.2
"Mar-1981",51.7
"Apr-1981",52.1
"May-1981",48.9
"Jun-1981",56.1
"Jul-1981",56
"Aug-1981",51.4
"Sep-1981",56.9
"Oct-1981",59
"Nov-1981",50.2
"Dec-1981",54.6
"Jan-1982",38.1
"Feb-1982",33.4
"Mar-1982",41.2
"Apr-1982",40.9
"May-1982",48.2
"Jun-1982",45.8
"Jul-1982",42.5
"Aug-1982",50
"Sep-1982",44.6
"Oct-1982",50
"Nov-1982",47.7
"Dec-1982",56.3
"Jan-1983",43.6
"Feb-1983",41.6
"Mar-1983",49.4
"Apr-1983",50.9
"May-1983",60.2
"Jun-1983",65.3
"Jul-1983",64.1
"Aug-1983",85.1
"Sep-1983",68.9
"Oct-1983",81.8
"Nov-1983",63.5
"Dec-1983",71.5
"Jan-1984",60.4
"Feb-1984",59.1
"Mar-1984",67.8
"Apr-1984",68
"May-1984",75.5
"Jun-1984",84.8
"Jul-1984",77.2
"Aug-1984",75.2
"Sep-1984",75.8
"Oct-1984",81.3
"Nov-1984",66
"Dec-1984",75.5
"Jan-1985",59.3
"Feb-1985",63.9
"Mar-1985",60.8
"Apr-1985",61
"May-1985",64.1
"Jun-1985",82.9
"Jul-1985",70.3
"Aug-1985",74.7
"Sep-1985",73.5
"Oct-1985",61.4
"Nov-1985",64.6
"Dec-1985",75.9
"Jan-1986",56.3
"Feb-1986",50.9
"Mar-1986",60.2
"Apr-1986",62.3
"May-1986",74.3
"Jun-1986",66.3
"Jul-1986",66
"Aug-1986",66
"Sep-1986",64.1
"Oct-1986",67.9
"Nov-1986",57.9
"Dec-1986",71.6
"Jan-1987",56.1
"Feb-1987",47.4
"Mar-1987",48.9
"Apr-1987",53.8
"May-1987",55.6
"Jun-1987",59.8
"Jul-1987",59.6
"Aug-1987",58.2
"Sep-1987",58.2
"Oct-1987",55.6
"Nov-1987",49.3
"Dec-1987",57.9
"Jan-1988",44.2
"Feb-1988",44.6
"Mar-1988",50.8
"Apr-1988",48.3
"May-1988",45
"Jun-1988",50.8
"Jul-1988",54.8
"Aug-1988",53.8
"Sep-1988",51.1
"Oct-1988",50.5
"Nov-1988",48
"Dec-1988",52.8
"Jan-1989",46.2
"Feb-1989",39
"Mar-1989",43.1
"Apr-1989",46
"May-1989",46.6
"Jun-1989",47.8
"Jul-1989",45.2
"Aug-1989",51.9
"Sep-1989",47.4
"Oct-1989",46.9
"Nov-1989",45.9
"Dec-1989",43.3
"Jan-1990",38.2
"Feb-1990",34.6
"Mar-1990",47.4
"Apr-1990",38.6
"May-1990",41.8
"Jun-1990",45.9
"Jul-1990",42.5
"Aug-1990",51.1
"Sep-1990",48.5
"Oct-1990",42.6
"Nov-1990",39.3
"Dec-1990",40.1
"Jan-1991",30.4
"Feb-1991",31
"Mar-1991",36
"Apr-1991",35.2
"May-1991",32.5
"Jun-1991",43.6
"Jul-1991",36.7
"Aug-1991",40.6
"Sep-1991",41.3
"Oct-1991",39.3
"Nov-1991",31.9
"Dec-1991",40.4
"Jan-1992",27.7
"Feb-1992",33.3
"Mar-1992",35.7
"Apr-1992",33.1
"May-1992",37.5
"Jun-1992",43.8
"Jul-1992",42.5
"Aug-1992",44.1
"Sep-1992",40.7
"Oct-1992",43.2
"Nov-1992",36.5
"Dec-1992",44.2
"Jan-1993",35.4
"Feb-1993",34.4
"Mar-1993",39.7
"Apr-1993",36.3
"May-1993",42.2
"Jun-1993",42.4
"Jul-1993",42.4
"Aug-1993",50.2
"Sep-1993",46.2
"Oct-1993",47.2
"Nov-1993",43.7
"Dec-1993",51.8
"Jan-1994",38
"Feb-1994",38.1
"Mar-1994",42.7
"Apr-1994",46.5
"May-1994",48.5
"Jun-1994",51
"Jul-1994",45
"Aug-1994",51.4
"Sep-1994",55.5
"Oct-1994",56.6
"Nov-1994",50.6
"Dec-1994",56.9
"Jan-1995",45
"Feb-1995",38.7
"Mar-1995",46.6
"Apr-1995",44.5
"May-1995",46.9
"Jun-1995",48.1
"Jul-1995",48.9
"Aug-1995",53.5
"Sep-1995",49.7
"Oct-1995",56.2
"Nov-1995",51.1
"Dec-1995",52
"Jan-1996",43.9
"Feb-1996",41.9
"Mar-1996",49.7
"Apr-1996",45.9
"May-1996",53.3
"Jun-1996",56.6
"Jul-1996",56.3
"Aug-1996",61.4
"Sep-1996",51.3
"Oct-1996",59.7
"Nov-1996",52.3
"Dec-1996",64.7
"Jan-1997",41.6
"Feb-1997",49
"Mar-1997",51.9
"Apr-1997",52.8
"May-1997",49
"Jun-1997",50.4
"Jul-1997",49.7
"Aug-1997",52.6
"Sep-1997",60.7
"Oct-1997",57.3
"Nov-1997",55
"Dec-1997",64
"Jan-1998",40.7
"Feb-1998",45.7
"Mar-1998",50.6
"Apr-1998",56.6
"May-1998",54.5
"Jun-1998",59
"Jul-1998",60
"Aug-1998",64.5
"Sep-1998",59.2
"Oct-1998",58.5
"Nov-1998",61.7
"Dec-1998",60.6
"Jan-1999",57.1
"Feb-1999",50.8
"Mar-1999",57.4
"Apr-1999",54.1
"May-1999",60.4
"Jun-1999",62.3
"Jul-1999",62.3
"Aug-1999",67.7
"Sep-1999",63.3
"Oct-1999",65.9
"Nov-1999",62.5
"Dec-1999",69
"Jan-2000",52.2
"Feb-2000",56
"Mar-2000",57.8
"Apr-2000",56.9
"May-2000",64
"Jun-2000",63.1
"Jul-2000",61.2
"Aug-2000",65
"Sep-2000",58.6
"Oct-2000",64.8
"Nov-2000",63.2
"Dec-2000",66.6
"Jan-2001",44.1
"Feb-2001",52.5
"Mar-2001",55.8
"Apr-2001",54.9
"May-2001",56.8
"Jun-2001",68.2
"Jul-2001",62.6
"Aug-2001",69.5
"Sep-2001",64.8
"Oct-2001",64.5
"Nov-2001",56
"Dec-2001",76.7
"Jan-2002",53.2
"Feb-2002",53.7
"Mar-2002",54
"Apr-2002",62.3
"May-2002",67.7
"Jun-2002",64.8
"Jul-2002",65.2
"Aug-2002",69
"Sep-2002",66.2
"Oct-2002",67.4
"Nov-2002",61.3
"Dec-2002",73
"Jan-2003",56.3
"Feb-2003",52.2
"Mar-2003",57.7
"Apr-2003",59.7
"May-2003",61.1
"Jun-2003",64.8
"Jul-2003",60.8
"Aug-2003",62.4
"Sep-2003",63.2
"Oct-2003",69
"Nov-2003",67.7
"Dec-2003",80.8
"Jan-2004",51
"Feb-2004",54.1
"Mar-2004",66.1
"Apr-2004",70
"May-2004",76.4
"Jun-2004",73.2
"Jul-2004",73.5
"Aug-2004",79.2
"Sep-2004",72.5
"Oct-2004",71.2
"Nov-2004",70.6
"Dec-2004",82.5
"Jan-2005",60.5
"Feb-2005",61.9
"Mar-2005",62.5
"Apr-2005",71
"May-2005",81.7
"Jun-2005",81.9
"Jul-2005",74.1
"Aug-2005",78.7
"Sep-2005",80.7
"Oct-2005",84.5
"Nov-2005",76
"Dec-2005",90.2
"Jan-2006",69.8
"Feb-2006",68.5
"Mar-2006",87.6
"Apr-2006",77.9
"May-2006",78
"Jun-2006",86.5
"Jul-2006",85.1
"Aug-2006",82.1
"Sep-2006",86.2
"Oct-2006",87.9
"Nov-2006",82.6
"Dec-2006",94.5
"Jan-2007",67.7
"Feb-2007",62.3
"Mar-2007",64.3
"Apr-2007",63.7
"May-2007",66.1
"Jun-2007",67.1
"Jul-2007",67.3
"Aug-2007",70
"Sep-2007",57.2
"Oct-2007",62.1
"Nov-2007",56.6
"Dec-2007",61.8
"Jan-2008",48.4
"Feb-2008",48.1
"Mar-2008",47.1
"Apr-2008",40.6
"May-2008",48.5
"Jun-2008",51.4
"Jul-2008",45.7
"Aug-2008",50
"Sep-2008",47.2
"Oct-2008",48
"Nov-2008",43.3
"Dec-2008",49
"Jan-2009",27.8
"Feb-2009",26.9
"Mar-2009",32.2
"Apr-2009",31.7
"May-2009",35
"Jun-2009",34.3
"Jul-2009",31.4
"Aug-2009",41.3
"Sep-2009",29.8
"Oct-2009",32.3
"Nov-2009",33.7
"Dec-2009",37.2
"Jan-2010",21.2
"Feb-2010",23
"Mar-2010",26
"Apr-2010",32.1
"May-2010",26.2
"Jun-2010",33.9
"Jul-2010",23.8
"Aug-2010",26.6
"Sep-2010",26.7
"Oct-2010",25.9
"Nov-2010",22.4
"Dec-2010",28.9
"Jan-2011",17.3
"Feb-2011",23.1
"Mar-2011",25.4
"Apr-2011",21.9
"May-2011",20
"Jun-2011",24.6
"Jul-2011",29.6
"Aug-2011",26.9
"Sep-2011",26.5
"Oct-2011",25.6
"Nov-2011",26
"Dec-2011",28.6
"Jan-2012",18.8
"Feb-2012",19.9
"Mar-2012",22.1
"Apr-2012",26.1
"May-2012",24.5
"Jun-2012",27.9
"Jul-2012",26.7
"Aug-2012",30.9
"Sep-2012",28.7
"Oct-2012",36.6
"Nov-2012",28.7
"Dec-2012",33.7
"Jan-2013",24.8
"Feb-2013",26.4
"Mar-2013",29.2
"Apr-2013",27.9
"May-2013",31.3
"Jun-2013",34.1
"Jul-2013",32.3
"Aug-2013",38.2
"Sep-2013",35.8
"Oct-2013",38.9
"Nov-2013",33.5
"Dec-2013",37
"Jan-2014",29.2
"Feb-2014",31.8
"Mar-2014",37.7
"Apr-2014",34.2
"May-2014",33.7
"Jun-2014",36.5
"Jul-2014",35.9
"Aug-2014",42.7
"Sep-2014",43.3
"Oct-2014",37.9
"Nov-2014",36.5
"Dec-2014",41.7
"Jan-2015",36.9
"Feb-2015",33.3
"Mar-2015",34.7
"Apr-2015",36.8
"May-2015",40.4
"Jun-2015",47.6
"Jul-2015",43.7
"Aug-2015",45.3
"Sep-2015",40
"Oct-2015",43.6
"Nov-2015",40.3
"Dec-2015",47.1
"Jan-2016",37.7
"Feb-2016",38
"Mar-2016",42.4
"Apr-2016",39
"May-2016",44.4
"Jun-2016",49.7
"Jul-2016",44.8
"Aug-2016",50.3
"Sep-2016",46.9
"Oct-2016",48.5
"Nov-2016",55.6
"Dec-2016",54
"Jan-2017",43.5
"Feb-2017",40.6
"Mar-2017",50
"Apr-2017",45.3
"May-2017",49.6
"Jun-2017",48.2
"Jul-2017",54
"Aug-2017",48.7
"Sep-2017",51.1
"Oct-2017",55.9
"Nov-2017",49.4
"Dec-2017",58.5
"Jan-2018",42.3
"Feb-2018",46.8
"Mar-2018",47.6
"Apr-2018",46.6
"May-2018",56.7
"Jun-2018",53.6
"Jul-2018",49.9
"Aug-2018",59.8
"Sep-2018",47.3
"Oct-2018",47.7
"Nov-2018",44.8
"Dec-2018",50.7
"Jan-2019",44.5
"Feb-2019",48
"Mar-2019",55.5
"Apr-2019",51.4
"May-2019",50.3
"Jun-2019",53.3
"Jul-2019",57.3
"Aug-2019",56.8
"Sep-2019",48.9
"Oct-2019",56
"Nov-2019",53.9
"Dec-2019",61.3
"Jan-2020",44.7
"Feb-2020",46.5
"Mar-2020",57.2
"Apr-2020",55.7
"May-2020",51.6
"Jun-2020",58.5
"Jul-2020",63.7
"Aug-2020",55.4
"Sep-2020",62.3
"Oct-2020",62.1
"Nov-2020","NA"
"Dec-2020","NA"
