"Period","Value"
"Jan-1968",35.6
"Feb-1968",31.5
"Mar-1968",42.5
"Apr-1968",42.9
"May-1968",46.2
"Jun-1968",37.7
"Jul-1968",50.3
"Aug-1968",46.6
"Sep-1968",48.7
"Oct-1968",50.2
"Nov-1968",45.7
"Dec-1968",49.8
"Jan-1969",40.1
"Feb-1969",34.8
"Mar-1969",53.3
"Apr-1969",38.1
"May-1969",50.9
"Jun-1969",53.7
"Jul-1969",46.5
"Aug-1969",45.8
"Sep-1969",48.4
"Oct-1969",49.4
"Nov-1969",38.9
"Dec-1969",53.2
"Jan-1970",43.7
"Feb-1970",39.6
"Mar-1970",40
"Apr-1970",43.9
"May-1970",40.5
"Jun-1970",60.1
"Jul-1970",45.5
"Aug-1970",65.9
"Sep-1970",49.7
"Oct-1970",62.6
"Nov-1970",52.4
"Dec-1970",50.9
"Jan-1971",46.8
"Feb-1971",45.1
"Mar-1971",50
"Apr-1971",60.6
"May-1971",60.4
"Jun-1971",63.4
"Jul-1971",62.3
"Aug-1971",69.3
"Sep-1971",65.5
"Oct-1971",66.4
"Nov-1971",63.7
"Dec-1971",73.6
"Jan-1972",67.6
"Feb-1972",61.2
"Mar-1972",61.4
"Apr-1972",64.9
"May-1972",61.8
"Jun-1972",73.5
"Jul-1972",71.5
"Aug-1972",81.4
"Sep-1972",73.4
"Oct-1972",82.2
"Nov-1972",64
"Dec-1972",85.7
"Jan-1973",72.2
"Feb-1973",66.2
"Mar-1973",71.2
"Apr-1973",79
"May-1973",82.8
"Jun-1973",87.1
"Jul-1973",74.9
"Aug-1973",85.3
"Sep-1973",75.1
"Oct-1973",75.3
"Nov-1973",67.3
"Dec-1973",69.8
"Jan-1974",65.8
"Feb-1974",59.9
"Mar-1974",64.1
"Apr-1974",61.8
"May-1974",60.3
"Jun-1974",69.4
"Jul-1974",66
"Aug-1974",60
"Sep-1974",68.7
"Oct-1974",65
"Nov-1974",56
"Dec-1974",59
"Jan-1975",50.3
"Feb-1975",39.7
"Mar-1975",44.1
"Apr-1975",38.8
"May-1975",42.1
"Jun-1975",49
"Jul-1975",47.4
"Aug-1975",47
"Sep-1975",39.1
"Oct-1975",40.5
"Nov-1975",45.3
"Dec-1975",48
"Jan-1976",36.5
"Feb-1976",36.6
"Mar-1976",38.6
"Apr-1976",38
"May-1976",40.5
"Jun-1976",45.4
"Jul-1976",43.3
"Aug-1976",43.2
"Sep-1976",46.3
"Oct-1976",48
"Nov-1976",48.4
"Dec-1976",48.5
"Jan-1977",37.7
"Feb-1977",45.5
"Mar-1977",50.5
"Apr-1977",43.8
"May-1977",46.5
"Jun-1977",55
"Jul-1977",54.6
"Aug-1977",58.6
"Sep-1977",61.3
"Oct-1977",59.6
"Nov-1977",62
"Dec-1977",61.2
"Jan-1978",48
"Feb-1978",48.3
"Mar-1978",55.3
"Apr-1978",59
"May-1978",64.4
"Jun-1978",64
"Jul-1978",65.4
"Aug-1978",70.4
"Sep-1978",74.5
"Oct-1978",75
