"Period","Value"
"Jan-1968",12.9
"Feb-1968",9.7
"Mar-1968",10.7
"Apr-1968",12
"May-1968",20
"Jun-1968",16.8
"Jul-1968",20.1
"Aug-1968",15.3
"Sep-1968",27
"Oct-1968",20.5
"Nov-1968",14.4
"Dec-1968",19.5
"Jan-1969",11
"Feb-1969",14.9
"Mar-1969",17
"Apr-1969",14.8
"May-1969",17.9
"Jun-1969",22.9
"Jul-1969",19.5
"Aug-1969",21.5
"Sep-1969",21
"Oct-1969",23.5
"Nov-1969",18.1
"Dec-1969",17.7
"Jan-1970",13.2
"Feb-1970",13.2
"Mar-1970",13.3
"Apr-1970",10.8
"May-1970",15.9
"Jun-1970",15
"Jul-1970",17.6
"Aug-1970",18.4
"Sep-1970",18.3
"Oct-1970",18.1
"Nov-1970",14.3
"Dec-1970",16.9
"Jan-1971",14.2
"Feb-1971",14.9
"Mar-1971",11.7
"Apr-1971",15.2
"May-1971",15.9
"Jun-1971",21.4
"Jul-1971",18
"Aug-1971",21.2
"Sep-1971",26
"Oct-1971",27.1
"Nov-1971",21
"Dec-1971",19.1
"Jan-1972",18.2
"Feb-1972",19
"Mar-1972",21
"Apr-1972",18.6
"May-1972",19.5
"Jun-1972",24.1
"Jul-1972",22.1
"Aug-1972",27.4
"Sep-1972",32.9
"Oct-1972",25.6
"Nov-1972",27.1
"Dec-1972",25.7
"Jan-1973",23.2
"Feb-1973",20.2
"Mar-1973",15.7
"Apr-1973",21.8
"May-1973",28
"Jun-1973",31.7
"Jul-1973",23.9
"Aug-1973",26
"Sep-1973",22.4
"Oct-1973",27.8
"Nov-1973",25.5
"Dec-1973",27.8
"Jan-1974",21.1
"Feb-1974",16.2
"Mar-1974",20.8
"Apr-1974",14.7
"May-1974",20.4
"Jun-1974",23.6
"Jul-1974",19
"Aug-1974",21.5
"Sep-1974",18.6
"Oct-1974",19.8
"Nov-1974",19.5
"Dec-1974",16.6
"Jan-1975",13.9
"Feb-1975",10.5
"Mar-1975",17.8
"Apr-1975",12.7
"May-1975",17.5
"Jun-1975",15
"Jul-1975",14.1
"Aug-1975",12.5
"Sep-1975",19.6
"Oct-1975",17.1
"Nov-1975",18.5
"Dec-1975",16.7
"Jan-1976",8.9
"Feb-1976",8.5
"Mar-1976",13.9
"Apr-1976",11.5
"May-1976",15.1
"Jun-1976",17.7
"Jul-1976",11.4
"Aug-1976",16.4
"Sep-1976",18.5
"Oct-1976",19.1
"Nov-1976",16.3
"Dec-1976",13
"Jan-1977",9.2
"Feb-1977",9.7
"Mar-1977",13.1
"Apr-1977",12.1
"May-1977",12.1
"Jun-1977",14.3
"Jul-1977",14.5
"Aug-1977",15.7
"Sep-1977",18.6
"Oct-1977",22.1
"Nov-1977",21.2
"Dec-1977",14.1
"Jan-1978",14.6
"Feb-1978",12.9
"Mar-1978",12.3
"Apr-1978",11
"May-1978",9.7
"Jun-1978",17.6
"Jul-1978",18
"Aug-1978",13.7
"Sep-1978",17
"Oct-1978",19.2
"Nov-1978",17.6
"Dec-1978",18.3
"Jan-1979",11.3
"Feb-1979",11.4
"Mar-1979",13.8
"Apr-1979",12.1
"May-1979",16.9
"Jun-1979",18.6
"Jul-1979",16.5
"Aug-1979",15.6
"Sep-1979",20.6
"Oct-1979",17.8
"Nov-1979",17.5
"Dec-1979",16.3
"Jan-1980",11.6
"Feb-1980",9.4
"Mar-1980",12.6
"Apr-1980",13.5
"May-1980",9.9
"Jun-1980",10.4
"Jul-1980",15.5
"Aug-1980",11.3
"Sep-1980",14.5
"Oct-1980",12.2
"Nov-1980",12.9
"Dec-1980",12.1
"Jan-1981",7.5
"Feb-1981",8.1
"Mar-1981",12.3
"Apr-1981",9.1
"May-1981",9.9
"Jun-1981",14.7
"Jul-1981",10.7
"Aug-1981",12.9
"Sep-1981",11.6
"Oct-1981",13.8
"Nov-1981",7.5
"Dec-1981",9.2
"Jan-1982",7.5
"Feb-1982",4.8
"Mar-1982",6.4
"Apr-1982",7.5
"May-1982",13.3
"Jun-1982",7.3
"Jul-1982",12.7
"Aug-1982",7.7
"Sep-1982",9.7
"Oct-1982",19.5
"Nov-1982",14.7
"Dec-1982",9.4
"Jan-1983",9.4
"Feb-1983",9.4
"Mar-1983",8.5
"Apr-1983",8.6
"May-1983",11
"Jun-1983",11.7
"Jul-1983",12.2
"Aug-1983",13.1
"Sep-1983",12.6
"Oct-1983",14.8
"Nov-1983",12.8
"Dec-1983",14.6
"Jan-1984",13.1
"Feb-1984",10.5
"Mar-1984",10.7
"Apr-1984",12.3
"May-1984",11.7
"Jun-1984",15.5
"Jul-1984",14.8
"Aug-1984",18
"Sep-1984",11.8
"Oct-1984",15.4
"Nov-1984",17.8
"Dec-1984",16.6
"Jan-1985",16.1
"Feb-1985",11.1
"Mar-1985",15.7
