"Period","Value"
"Apr-1985",14.8
"May-1985",15.3
"Jun-1985",20.7
"Jul-1985",18.6
"Aug-1985",17.8
"Sep-1985",22.2
"Oct-1985",21.8
"Nov-1985",18.8
"Dec-1985",20.8
"Jan-1986",15.6
"Feb-1986",15.2
"Mar-1986",18.2
"Apr-1986",18
"May-1986",18
"Jun-1986",22.3
"Jul-1986",19.2
"Aug-1986",23.5
"Sep-1986",25.9
"Oct-1986",25
"Nov-1986",24.8
"Dec-1986",28.4
"Jan-1987",21.4
"Feb-1987",16.8
"Mar-1987",20.7
"Apr-1987",21.5
"May-1987",20.7
"Jun-1987",21.8
"Jul-1987",21.9
"Aug-1987",20.9
"Sep-1987",21
"Oct-1987",22.2
"Nov-1987",22.6
"Dec-1987",26.1
"Jan-1988",15.6
"Feb-1988",13.3
"Mar-1988",19.2
"Apr-1988",20.5
"May-1988",20.6
"Jun-1988",22.3
"Jul-1988",19.6
"Aug-1988",22.6
"Sep-1988",25.4
"Oct-1988",26.7
"Nov-1988",17.8
"Dec-1988",26.5
"Jan-1989",20.4
"Feb-1989",18.1
"Mar-1989",16.3
"Apr-1989",22.9
"May-1989",17.4
"Jun-1989",16.4
"Jul-1989",17
"Aug-1989",18.4
"Sep-1989",17.1
"Oct-1989",16.1
"Nov-1989",17.9
"Dec-1989",20.6
"Jan-1990",14.2
"Feb-1990",11.6
"Mar-1990",11.8
"Apr-1990",10.8
"May-1990",13.3
"Jun-1990",15.1
"Jul-1990",13.3
"Aug-1990",11.2
"Sep-1990",12.8
"Oct-1990",17.7
"Nov-1990",12.3
"Dec-1990",13.6
"Jan-1991",11.5
"Feb-1991",6.7
"Mar-1991",8.5
"Apr-1991",9.3
"May-1991",8.3
"Jun-1991",9.3
"Jul-1991",9.4
"Aug-1991",9.7
"Sep-1991",13.8
"Oct-1991",12
"Nov-1991",10.7
"Dec-1991",10.9
"Jan-1992",10.3
"Feb-1992",8.8
"Mar-1992",8.7
"Apr-1992",10.1
"May-1992",12.3
"Jun-1992",12
"Jul-1992",14.6
"Aug-1992",9.2
"Sep-1992",10.6
"Oct-1992",13.9
"Nov-1992",13.3
"Dec-1992",12.8
"Jan-1993",7.8
"Feb-1993",9.1
"Mar-1993",7
"Apr-1993",10.7
"May-1993",7.3
"Jun-1993",8.9
"Jul-1993",9.1
"Aug-1993",11.7
"Sep-1993",8.6
"Oct-1993",11.3
"Nov-1993",13.6
"Dec-1993",12.4
"Jan-1994",7.6
"Feb-1994",7.2
"Mar-1994",7.4
"Apr-1994",9.4
"May-1994",11.4
"Jun-1994",10.3
"Jul-1994",10.7
"Aug-1994",13
"Sep-1994",11.7
"Oct-1994",12.2
"Nov-1994",10.8
"Dec-1994",11.6
"Jan-1995",11.4
"Feb-1995",8.3
"Mar-1995",9.9
"Apr-1995",7.2
"May-1995",11.2
"Jun-1995",10.3
"Jul-1995",13.3
"Aug-1995",8.8
"Sep-1995",11.1
"Oct-1995",12.7
"Nov-1995",9.7
"Dec-1995",12.9
"Jan-1996",8.4
"Feb-1996",9.2
"Mar-1996",6.6
"Apr-1996",8.8
"May-1996",9.2
"Jun-1996",10.9
"Jul-1996",9.3
"Aug-1996",11
"Sep-1996",11.7
"Oct-1996",13.2
"Nov-1996",13.5
"Dec-1996",13.3
"Jan-1997",8.5
"Feb-1997",10.5
"Mar-1997",13.4
"Apr-1997",8.6
"May-1997",12.7
"Jun-1997",10.7
"Jul-1997",11.3
"Aug-1997",10.2
"Sep-1997",13.1
"Oct-1997",11.4
"Nov-1997",11.4
"Dec-1997",12.1
"Jan-1998",9.5
"Feb-1998",8.3
"Mar-1998",8
"Apr-1998",9.2
"May-1998",11.4
"Jun-1998",12
"Jul-1998",10.9
"Aug-1998",12.8
"Sep-1998",14.4
"Oct-1998",12.6
"Nov-1998",13.6
"Dec-1998",14.5
"Jan-1999",8.6
"Feb-1999",7.9
"Mar-1999",10.4
"Apr-1999",11.8
"May-1999",13.8
"Jun-1999",13.5
"Jul-1999",14.6
"Aug-1999",13.2
"Sep-1999",12.4
"Oct-1999",10.3
"Nov-1999",12.8
"Dec-1999",13.4
"Jan-2000",10
"Feb-2000",10.8
"Mar-2000",11.5
"Apr-2000",12.1
"May-2000",12.1
"Jun-2000",13.2
"Jul-2000",12.1
"Aug-2000",12.2
"Sep-2000",14.8
"Oct-2000",13.5
"Nov-2000",11.3
"Dec-2000",12.3
"Jan-2001",10.8
"Feb-2001",9.2
"Mar-2001",9.6
"Apr-2001",10.9
"May-2001",11
"Jun-2001",14.6
"Jul-2001",10.7
"Aug-2001",12.4
"Sep-2001",11.1
"Oct-2001",14.5
"Nov-2001",12.8
"Dec-2001",17.1
"Jan-2002",12.9
"Feb-2002",9.4
"Mar-2002",9.8
"Apr-2002",11.9
"May-2002",11.2
"Jun-2002",14.3
"Jul-2002",11.7
"Aug-2002",15.5
"Sep-2002",12.3
"Oct-2002",11.8
"Nov-2002",13.8
"Dec-2002",13.3
"Jan-2003",9.5
"Feb-2003",14.3
"Mar-2003",8.6
"Apr-2003",11
"May-2003",16
"Jun-2003",13.8
"Jul-2003",11.4
"Aug-2003",14
"Sep-2003",13.8
"Oct-2003",13.5
"Nov-2003",14.5
"Dec-2003",14.2
"Jan-2004",9.5
"Feb-2004",9.6
"Mar-2004",10.1
"Apr-2004",10.6
"May-2004",12
"Jun-2004",15.4
"Jul-2004",13.4
"Aug-2004",16.5
"Sep-2004",13.8
"Oct-2004",17.4
"Nov-2004",13.8
"Dec-2004",13.8
"Jan-2005",10.9
"Feb-2005",12.8
"Mar-2005",10.4
"Apr-2005",12.3
"May-2005",14.1
"Jun-2005",16.9
"Jul-2005",12.3
"Aug-2005",19.9
"Sep-2005",15.1
"Oct-2005",13.9
"Nov-2005",14.4
"Dec-2005",17.8
"Jan-2006",13.3
"Feb-2006",14
"Mar-2006",12.7
"Apr-2006",17.2
"May-2006",13.7
"Jun-2006",15.5
"Jul-2006",14.8
"Aug-2006",16.1
"Sep-2006",18
"Oct-2006",14.4
"Nov-2006",14
"Dec-2006",15.3
"Jan-2007",11.9
"Feb-2007",9.7
"Mar-2007",9.7
"Apr-2007",9.2
"May-2007",11.2
"Jun-2007",14.5
"Jul-2007",11
"Aug-2007",14.1
"Sep-2007",12.2
"Oct-2007",16.6
"Nov-2007",10.9
"Dec-2007",13.8
"Jan-2008",8.7
"Feb-2008",7.2
"Mar-2008",7
"Apr-2008",8.6
"May-2008",11.5
"Jun-2008",7.6
"Jul-2008",11.1
"Aug-2008",8.9
"Sep-2008",10.4
"Oct-2008",7.8
"Nov-2008",9.4
"Dec-2008",11.4
"Jan-2009",6.2
"Feb-2009",6.9
"Mar-2009",4.8
"Apr-2009",10.9
"May-2009",6.7
"Jun-2009",9.4
"Jul-2009",8.6
"Aug-2009",6.3
"Sep-2009",8.9
"Oct-2009",9
"Nov-2009",8.5
"Dec-2009",8.1
"Jan-2010",5.8
"Feb-2010",5.6
"Mar-2010",4.4
"Apr-2010",7.2
"May-2010",7.5
"Jun-2010",7.7
"Jul-2010",5.8
"Aug-2010",7.9
"Sep-2010",7.9
"Oct-2010",8.2
"Nov-2010",6.5
"Dec-2010",5.9
"Jan-2011",4.2
"Feb-2011",4.4
"Mar-2011",4.5
"Apr-2011",5.2
"May-2011",5.6
"Jun-2011",7.5
"Jul-2011",5.8
"Aug-2011",6.3
"Sep-2011",8.9
"Oct-2011",7.7
"Nov-2011",4.7
"Dec-2011",7.8
"Jan-2012",5.8
"Feb-2012",5.3
"Mar-2012",4.8
"Apr-2012",6.1
"May-2012",6.8
"Jun-2012",7.2
"Jul-2012",8
"Aug-2012",6.1
"Sep-2012",6.6
"Oct-2012",6.3
"Nov-2012",6.2
"Dec-2012",5.4
"Jan-2013",4.6
"Feb-2013",4.1
"Mar-2013",6.5
"Apr-2013",4.7
"May-2013",4.8
"Jun-2013",6.4
"Jul-2013",7.8
"Aug-2013",6.9
"Sep-2013",7.3
"Oct-2013",6.4
"Nov-2013",7.3
"Dec-2013",8.5
"Jan-2014",6.2
"Feb-2014",4.1
"Mar-2014",4.4
"Apr-2014",5.5
"May-2014",10
"Jun-2014",6.8
"Jul-2014",8.1
"Aug-2014",9.7
"Sep-2014",12.2
"Oct-2014",9
"Nov-2014",4.7
"Dec-2014",7.9
"Jan-2015",4.9
"Feb-2015",3.5
"Mar-2015",3.4
"Apr-2015",8.2
"May-2015",12.1
"Jun-2015",6.4
"Jul-2015",8.2
"Aug-2015",6.9
"Sep-2015",11.6
"Oct-2015",10.7
"Nov-2015",8.5
"Dec-2015",8.2
"Jan-2016",6.8
"Feb-2016",5
"Mar-2016",7.3
"Apr-2016",6.5
"May-2016",5.6
"Jun-2016",11.3
"Jul-2016",8.6
"Aug-2016",12.9
"Sep-2016",9.3
"Oct-2016",7.2
"Nov-2016",9.4
"Dec-2016",9.5
"Jan-2017",5.6
"Feb-2017",7.5
"Mar-2017",8
"Apr-2017",6.3
"May-2017",11.6
"Jun-2017",12.5
"Jul-2017",9
"Aug-2017",13.1
"Sep-2017",8
"Oct-2017",12.1
"Nov-2017",11.4
"Dec-2017",10.5
"Jan-2018",8
"Feb-2018",8.7
"Mar-2018",11
"Apr-2018",10.2
"May-2018",7.7
"Jun-2018",7.5
"Jul-2018",9.5
"Aug-2018",8.5
"Sep-2018",11
"Oct-2018",8.4
"Nov-2018",10.3
"Dec-2018",7
"Jan-2019",8.5
"Feb-2019",6.9
"Mar-2019",9.4
"Apr-2019",8.9
"May-2019",8.1
"Jun-2019",10.6
"Jul-2019",9.3
"Aug-2019",12.9
"Sep-2019",9.1
"Oct-2019",10.6
"Nov-2019",10.1
"Dec-2019",18
"Jan-2020",7.1
"Feb-2020",7.2
"Mar-2020",5.6
"Apr-2020",4.3
"May-2020",7.9
"Jun-2020",6.7
"Jul-2020",9.2
"Aug-2020",8.7
"Sep-2020",8.6
"Oct-2020",9.5
"Nov-2020","NA"
"Dec-2020","NA"
